Frequency,S11,S21,S12,S22
917300000.0,(-43.5506908852078+4.5591962582759j),(-0.0163791523144795-33.9818968669023j),(-0.0108200100489849-33.9958905526885j),(-47.9101490395683+107.871497971916j)
919000000.0,(-43.8846626465302+4.70626145631399j),(-0.0340299942356039-34.1841174633946j),(-0.0362761280546998-34.1182165914761j),(-46.6336856108133+107.764510869763j)
920700000.0,(-41.7836614723522+6.59919091421783j),(-0.0292419631989712-34.0775845568557j),(-0.0174704945359889-34.127341289865j),(-48.2848868699994+115.777666238488j)
922400000.0,(-42.6233996842106+15.0743833659407j),(-0.0146419274667076-34.2446387800123j),(-0.00571661156285418-34.3426062410475j),(-57.9042936245693+145.595848175439j)
924100000.0,(-43.9489865689994+8.07689492086057j),(-0.0114087288499282-34.3586118120666j),(-0.0197975228776965-34.3350503888266j),(-48.4041470044706+107.353534413276j)
925800000.0,(-44.2269177763022+14.2995520747786j),(-0.0160922612721938-34.4946936967862j),(-0.00563228384898862-34.4009022576439j),(-52.3363698275476+101.008942381146j)
927500000.0,(-42.5215283895271+9.0935522891378j),(0.00291443609536825-34.4977756298476j),(0.000333042206492136-34.4300664447009j),(-51.0628833972867+118.198547119326j)
929200000.0,(-44.9616865091374+8.40660214682047j),(-0.0201524336076806-34.6457173718259j),(-0.0112631370604291-34.5566817960308j),(-50.9237510424885+94.0738175304101j)
930900000.0,(-41.8719359554054+3.45653474695461j),(-0.019708208347212-34.5742826695973j),(-0.0186363540823993-34.5009728147598j),(-49.4633680182081+99.9006552807015j)
932600000.0,(-44.3276917800497+16.9004118316526j),(-0.00802277275342721-34.6992179669139j),(-0.00387113640831649-34.5652258656653j),(-46.8473193400132+103.828261279063j)
934300000.0,(-41.0556792454655+15.6776116357821j),(-0.034103579394827-34.6640319639714j),(-0.0135035057713763-34.7093812296548j),(-49.4917535989071+131.897114497513j)
936000000.0,(-43.6139726679388+13.8629735402898j),(-0.0221725027743853-34.7167830256197j),(-0.000670082279984583-34.7877450825404j),(-46.8461779852314+92.5872064654113j)
937700000.0,(-45.2782936132902+7.60187455280175j),(-0.0161483048167163-34.9193833828319j),(-0.0248665895693157-34.8632013877377j),(-47.6780161664022+99.6189928094723j)
939400000.0,(-43.3595259687869-1.51213181138652j),(-0.0275679517516906-34.8471231589098j),(-0.0196146582345591-34.8941046417966j),(-46.6022950191432+110.115230515039j)
941100000.0,(-42.8541901372118+13.0705441748593j),(-0.0375122600421957-34.9634438734047j),(-0.00673804052481936-34.9258234744641j),(-47.5753625053098+99.8498014966001j)
942800000.0,(-41.669398601477-2.99615333441094j),(-0.0231080506216784-35.0183283605363j),(-0.0173204865152789-34.9174758705134j),(-50.8326346098742+66.720655537342j)
944500000.0,(-42.3183473731163+15.8282461927439j),(-0.0236947427920102-35.1255166957986j),(-0.0117451355022228-35.0410738179142j),(-54.8783179470551+105.989263024858j)
946200000.0,(-44.7303362383-1.04386090499122j),(-0.0124983742187354-35.1843854422505j),(-0.0166318456633489-35.1520900454638j),(-49.1913229737742+132.517730302942j)
947900000.0,(-42.7721792463416+4.32719710992746j),(-0.0352118983450926-35.2158682999424j),(-0.0199888867395347-35.2197031244764j),(-50.0144928620322+73.6920425854059j)
949600000.0,(-42.3402867301748-1.56335146090319j),(-0.0105814252384261-35.2761409908906j),(-0.00239316994516058-35.2695436091122j),(-53.2967604198217+123.835077959854j)
951300000.0,(-41.8074131402695+10.9933716474917j),(-0.0201432951574806-35.3334277643292j),(-0.0257610086136414-35.3048074371673j),(-49.4944420993615+100.212862225381j)
