,s 11,s 12,s 21,s 22
0.9952,(-0.05763627961+0.1342368126j),(0.9888008237+0.1467974931j),(0.9887961745+0.1461737901j),(0.05786663666+0.134040311j)
0.9984,(-0.05396428332+0.1404763162j),(0.9897191525+0.1472869515j),(0.989381671+0.1462922394j),(0.05566088855+0.1287808716j)
1.0016,(-0.0552283451+0.1422818452j),(0.9891058207+0.1480938494j),(0.9903028011+0.146849528j),(0.05582480133+0.12769714j)
1.0048,(-0.05588018149+0.1447457522j),(0.9894118309+0.1480647624j),(0.9902362823+0.1475327313j),(0.05608389154+0.1262462139j)
1.008,(-0.06173555553+0.1340451688j),(0.9886797667+0.1481166184j),(0.988830924+0.1473382711j),(0.06055407226+0.1354053915j)
1.0112,(-0.06418243796+0.1457529962j),(0.988242209+0.1500799209j),(0.9887654781+0.1492186487j),(0.06419245899+0.1273780018j)
1.0144,(-0.05979359895+0.1368492544j),(0.9881942868+0.1502229124j),(0.988717556+0.1486661881j),(0.06013165042+0.1357344091j)
1.0176,(-0.06102583185+0.1350398511j),(0.9882061481+0.1495243311j),(0.9889891148+0.148480922j),(0.06047653034+0.1365394741j)
1.0208,(-0.06782343984+0.1393420547j),(0.9873498678+0.1507716179j),(0.9874756336+0.1499225497j),(0.06641414016+0.1346348673j)
1.024,(-0.05902899802+0.1435569078j),(0.9894425273+0.1501064897j),(0.9891925454+0.1497896165j),(0.05855513364+0.130397886j)
1.0272,(-0.05442645401+0.1370364279j),(0.9887089133+0.1506426036j),(0.9892374277+0.1506956518j),(0.05466357246+0.1349887252j)
1.0304,(-0.05728383362+0.1416433901j),(0.988864243+0.1514161825j),(0.9887671471+0.1515518427j),(0.05721725151+0.1319209635j)
1.0336,(-0.05418949574+0.1402108222j),(0.9887095094+0.1518150121j),(0.9885896444+0.1510757208j),(0.05468127877+0.1348073632j)
1.0368,(-0.05803292617+0.1404138356j),(0.988222599+0.152439937j),(0.988119781+0.1515154988j),(0.05720762163+0.1345459968j)
1.04,(-0.05886440352+0.143139407j),(0.989254117+0.1526907384j),(0.9890660048+0.151901871j),(0.05831604078+0.1319473684j)
1.0432,(-0.06576670706+0.1393554956j),(0.9876298308+0.1537560225j),(0.9876824021+0.1539049149j),(0.06463520229+0.1390594542j)
1.0464,(-0.05501546711+0.1351190656j),(0.9879341125+0.1534142345j),(0.9881635308+0.1518772691j),(0.05188205838+0.1397202909j)
1.0496,(-0.06113501266+0.1425189972j),(0.9887468815+0.154270187j),(0.9880979061+0.1529683918j),(0.06111934781+0.1345487833j)
1.0528,(-0.06367782503+0.1442356706j),(0.9884445071+0.1547298431j),(0.9890267849+0.1540361643j),(0.06323511153+0.1330067813j)
1.056,(-0.06195683032+0.1376656145j),(0.9866905808+0.1552533209j),(0.9873492122+0.1545322537j),(0.05975003541+0.1407067776j)
1.0592,(-0.04731315002+0.1361658126j),(0.9880059361+0.1544935107j),(0.9885153174+0.1536831409j),(0.04507238418+0.1411462873j)
1.0624,(-0.057357274+0.1440974474j),(0.9877859354+0.155713588j),(0.9883873463+0.1549334228j),(0.05547462404+0.1347967535j)
1.0656,(-0.0600277409+0.1425604522j),(0.9879344702+0.1555467546j),(0.9888144732+0.154522121j),(0.05883616582+0.1362558305j)
1.0688,(-0.06400467455+0.151519984j),(0.9866938591+0.1571949422j),(0.9875906706+0.1560260355j),(0.06282296032+0.1305516809j)
