,s 11,s 12,s 21,s 22
0.9344,(-0.0007335925475+0.01486434415j),(1.002241015+0.002779513597j),(1.002006412+0.002730637789j),(0.01745362766-0.006366734393j)
0.9376,(-0.002464034129+0.009114312939j),(1.002353787+0.002721309662j),(1.002272606+0.002524197102j),(0.0214147903+0.0004159659147j)
0.9408,(-0.003456213744+0.007588522509j),(1.001496315+0.00289541902j),(1.002106786+0.001998247579j),(0.02166718245+0.002023491776j)
0.944,(0.002194958739+0.01682389714j),(1.00186801+0.003831416368j),(1.000944138+0.00394114852j),(0.01571443677-0.005980550312j)
0.9472,(-0.00207713549+0.01007407997j),(1.00108552+0.003090649843j),(1.001158834+0.002919405699j),(0.01997628435-0.0006270688027j)
0.9504,(-0.002834714949+0.01193275023j),(1.001834035+0.003033474088j),(1.001527309+0.00231204927j),(0.02049790695-0.002402310725j)
0.9536,(0.0001521697268+0.01016708463j),(1.001863122+0.002397835255j),(1.001855135+0.00233477354j),(0.01762670465-0.0006523905322j)
0.9568,(0.003756641643+0.007208573632j),(1.002044916+0.00286257267j),(1.00229919+0.002415895462j),(0.01579285599+0.002605375135j)
0.96,(0.006270144135+0.01260218304j),(1.001750946+0.002644993365j),(1.00152874+0.002631001174j),(0.01229585242-0.001077545108j)
0.9632,(0.002611274365+0.01226282679j),(1.002165914+0.002710849047j),(1.002284288+0.002282828093j),(0.01484667696-0.002611020114j)
0.9664,(0.006228093058+0.01209209859j),(1.00166893+0.002342492342j),(1.001922488+0.001817643642j),(0.01249303669-0.00140296272j)
0.9696,(0.0005268650129+0.01216412894j),(1.001269817+0.003365337849j),(1.002038121+0.003424823284j),(0.01745077409-0.00238733599j)
0.9728,(0.003533657175+0.01397911273j),(1.000899553+0.003146141768j),(1.00152874+0.003147304058j),(0.01435279101-0.005305429921j)
0.976,(0.001426042523+0.01020961162j),(1.00205493+0.002010598779j),(1.001238585+0.00245885551j),(0.01734866947-0.0005457107909j)
0.9792,(0.006111649331+0.008724456653j),(1.001795053+0.00275555253j),(1.001936555+0.00277402997j),(0.01319072209+0.001506830566j)
0.9824,(0.001469241455+0.01061439607j),(1.001468182+0.002877920866j),(1.001103997+0.003117024899j),(0.01810139976-0.0001904289238j)
0.9856,(0.005513331853+0.0109838238j),(1.002281785+0.002233371139j),(1.001948118+0.003266841173j),(0.01265362836-0.001439737389j)
0.9888,(0.005265067331+0.01163617708j),(1.002458334+0.002138569951j),(1.002613068+0.002877995372j),(0.01389883365-0.003004542319j)
0.992,(0.004217642825+0.01341761276j),(1.002445459+0.003022760153j),(1.001612902+0.003370016813j),(0.01431261469-0.004351842217j)
0.9952,(0.0004810794489+0.009309420362j),(1.001825094+0.002970576286j),(1.001346111+0.003482356668j),(0.01805330627-0.0005106383469j)
0.9984,(0.004918444436+0.01453119423j),(1.002230644+0.00236260891j),(1.001865387+0.002830177546j),(0.01442471147-0.005397720262j)
1.0016,(0.004548292607+0.01634638011j),(1.002136469+0.002874463797j),(1.002494335+0.003077805042j),(0.01384647377-0.006975827273j)
1.0048,(0.004265620839+0.01851531304j),(1.002325535+0.002141714096j),(1.002219081+0.003303736448j),(0.01347738318-0.008834878914j)
1.008,(-0.002068043686+0.008503218181j),(1.002462745+0.002194330096j),(1.001830816+0.002954021096j),(0.01958978735-0.001105979318j)
1.0112,(-0.002929643262+0.01972232014j),(1.001815438+0.002929985523j),(1.001660705+0.003129839897j),(0.02093156427-0.01017030049j)
1.0144,(0.0009427017067+0.01017987728j),(1.001932979+0.003397911787j),(1.002289414+0.003062993288j),(0.01852836832-0.001352658495j)
1.0176,(-8.264440112e-06+0.008260832168j),(1.001925588+0.002588577569j),(1.002029061+0.002682417631j),(0.01840981469-0.000666456297j)
1.0208,(-0.005870029796+0.01316518988j),(1.001458526+0.002813994884j),(1.001407623+0.003404974937j),(0.02365356311-0.004351594951j)
1.024,(0.003362904303+0.01569151133j),(1.002502322+0.00193426013j),(1.001732945+0.002503484488j),(0.01459277794-0.006920199841j)
1.0272,(0.007825616747+0.00869471021j),(1.001803994+0.002765834332j),(1.002270818+0.003287374973j),(0.0113706002-0.00154433609j)
1.0304,(0.005897246301+0.01341577433j),(1.00198257+0.002772033215j),(1.001993179+0.003506243229j),(0.01303951629-0.005604109727j)
1.0336,(0.009054817259+0.01115327142j),(1.001853824+0.002769440413j),(1.001494527+0.002599775791j),(0.01074388251-0.002396401018j)
1.0368,(0.005431347527+0.01168513019j),(1.001505733+0.003229647875j),(1.001721859+0.002861261368j),(0.01325402595-0.003416582942j)
1.04,(0.005395745859+0.0140125379j),(1.002111197+0.002838671207j),(1.002398491+0.00257435441j),(0.01351200696-0.006484827958j)
1.0432,(-0.001340928487+0.01088326611j),(1.001680732+0.003293931484j),(1.001746058+0.003907352686j),(0.02101905271-0.001528740861j)
1.0464,(0.009203683585+0.005436156876j),(1.001457453+0.003871195484j),(1.001668572+0.002752427012j),(0.008636760525+0.001992100151j)
1.0496,(0.003848565277+0.01299034525j),(1.002076864+0.00322906673j),(1.001610875+0.002305738628j),(0.01601006091-0.005456619896j)
1.0528,(0.001830875874+0.01472779643j),(1.001852036+0.002811938524j),(1.003081322+0.00311127305j),(0.01763582602-0.007761700079j)
1.056,(0.003342287848+0.00782581605j),(1.000761747+0.003679362126j),(1.001589656+0.003765258938j),(0.01584186964+1.695814717e-05j)
1.0592,(0.0180665087+0.00457070535j),(1.001294971+0.003664258868j),(1.002060294+0.003275444731j),(0.001463731634+0.003409745172j)
1.0624,(0.009218733758+0.01313435566j),(1.001650333+0.003067076206j),(1.001722932+0.003703057766j),(0.009660599753-0.005616386421j)
1.0656,(0.006804603152+0.01158853248j),(1.001891136+0.002456232905j),(1.002315044+0.002787664533j),(0.01290068403-0.005004802719j)
1.0688,(0.004081657156+0.02068059891j),(1.0009377+0.003080397844j),(1.001103878+0.003060698509j),(0.01520037651-0.01206393167j)
1.072,(0.01196485199+0.02443874255j),(1.00077939+0.003874093294j),(1.000557423+0.003097474575j),(0.006575690582-0.01687048003j)
1.0752,(-0.008200199343+0.002629024908j),(1.001708984+0.002468749881j),(1.002140045+0.003030568361j),(0.02749143727+0.004106878303j)
1.0784,(-0.01365362201+0.007491810713j),(1.001606703+0.003588587046j),(1.001398683+0.003492295742j),(0.0330198966+0.0005375482142j)
1.0816,(-0.005452328362+0.02000625245j),(1.001348019+0.003781631589j),(1.001651525+0.00398235023j),(0.0263572149-0.0122417286j)
1.0848,(0.001975511666+0.01491187513j),(1.001525164+0.003155350685j),(1.001663089+0.003099560738j),(0.01692954078-0.008316572756j)
1.088,(-0.01762543432+0.01649873517j),(1.001827121+0.003199905157j),(1.001735687+0.003136754036j),(0.03841357678-0.00961531885j)
1.0912,(-0.01607540064+0.01109209098j),(1.001299262+0.003812253475j),(1.001324177+0.004390239716j),(0.03524895757-0.004820484668j)
