Frequency,S11,S21,S12,S22
2210000000.0,(-0.124223335876147+24.2164630326958j),(-37.2221950816614-3.24283914634219j),(-37.4941428442075-2.86481442045612j),(-0.0416908261145921+159.822360500561j)
2212000000.0,(-0.134837150801676+24.1482824179025j),(-37.2964200897166-2.90294652256387j),(-37.5493152345653-2.76958186880695j),(-0.0391828564767291+159.748275996593j)
2214000000.0,(-0.136180338550566+24.079073273095j),(-37.3860139934414-3.44363354230474j),(-37.4356683145631-2.84730943569232j),(-0.0442353592600795+159.828021414846j)
2216000000.0,(-0.129190523630149+23.939724481432j),(-37.6671874214646-3.81265813299761j),(-37.3328930190318-2.68392159427553j),(-0.0538818396109632+159.760906898212j)
2218000000.0,(-0.169043465038157+23.6301954429408j),(-37.4792412225232-3.57762998732429j),(-37.3296336591589-4.5387932654977j),(-0.0503561198120311+159.711426990173j)
2220000000.0,(-0.139829646247286+23.4387740758102j),(-37.1503603814818-0.944557511640084j),(-37.4332775933309-3.66853795322941j),(-0.0325580575015736+159.797065062445j)
2222000000.0,(-0.133059726233633+23.2279915152752j),(-37.0914096156625-2.7068502424281j),(-37.2385058572538-3.78895276260967j),(-0.0339159630011941+159.77112096085j)
2224000000.0,(-0.143388752126607+23.1690091132829j),(-37.4251341185093-5.39734026617939j),(-37.1778580845887-3.57219434311592j),(-0.0367059992161472+159.719375204392j)
2226000000.0,(-0.160506838538201+23.013929359494j),(-37.1764401142929-3.92617552828055j),(-37.3348604555788-4.27193972374947j),(-0.0290134100446159+159.693836771358j)
2228000000.0,(-0.15383791789517+22.7867058214059j),(-37.3486321725029-4.28315896157734j),(-37.2129007921113-3.55147261438168j),(-0.0246589740088319+159.582234048861j)
2230000000.0,(-0.115295768697836+22.7324391264278j),(-37.3429143973942-5.62473320514485j),(-37.2453934508024-3.10060938296145j),(-0.0302185859008336+159.568940396246j)
2232000000.0,(-0.131058281418941+22.5708411538735j),(-37.318817721456-3.85900435085999j),(-37.3073096225909-4.17823009455415j),(-0.0362459855706521+159.631830729331j)
2234000000.0,(-0.135512036007987+22.4794673875583j),(-37.2840047280669-2.94416719941516j),(-37.3007320369223-3.5141046319036j),(-0.0376534496706164+159.59939732267j)
2236000000.0,(-0.17154825630564+22.2833651100042j),(-36.9739000105076-4.91313166915904j),(-37.2644873931334-3.48246275712663j),(-0.0346087984658054+159.684402194451j)
2238000000.0,(-0.147082920831715+21.9993853010163j),(-37.1379971119834-4.11872318135153j),(-37.3246753722844-3.03073031979699j),(-0.0328944150305132+159.576851841957j)
2240000000.0,(-0.13727787889595+21.9261123671002j),(-37.0034287273656-4.91189138302756j),(-37.2858690696899-4.70116163090961j),(-0.0495092434597166+159.568981238724j)
2242000000.0,(-0.145162685458138+21.6375773477437j),(-37.3438393342732-3.68641616113323j),(-37.2001068723278-5.67230125340026j),(-0.0419326623100563+159.55686962108j)
2244000000.0,(-0.148093195876739+21.575606527079j),(-37.6179376742424-3.8536261071378j),(-37.151890396772-5.80756956311j),(-0.0472563098574158+159.460305783048j)
