Frequency,S11,S21,S12,S22
4220000000.0,(-11.7571670795439+17.8397077910942j),(-2.58875539232775-18.1152756210049j),(-2.59469330586148-18.016362181277j),(-11.465815079148+145.100581490166j)
4230000000.0,(-11.9562012302669+18.2008051387768j),(-2.57392149612678-19.0501073042326j),(-2.58314372635384-18.9248302490393j),(-11.5978962930321+144.65761338099j)
4240000000.0,(-12.1097983915215+17.7182642728699j),(-2.54247906513028-20.0701115605298j),(-2.55236954927675-20.0383439729134j),(-11.7394485440777+144.016767632966j)
4250000000.0,(-12.2603861881987+17.7290439025319j),(-2.54420273128398-20.6754792924655j),(-2.5529164499036-20.835332795126j),(-11.7910512167277+143.918451787152j)
4260000000.0,(-12.4814674727325+17.973957666379j),(-2.53637062069883-21.8574764917208j),(-2.5500520217783-21.6597769258553j),(-12.0445828555193+143.991973040601j)
4270000000.0,(-12.5947818864399+17.8470289238137j),(-2.53836541637931-22.7005886532247j),(-2.53665146040504-22.657205514984j),(-12.232681202664+144.052041897375j)
4280000000.0,(-12.7926470080225+17.9484660716264j),(-2.52052431558163-23.5914923956654j),(-2.53310692694459-23.6211549596667j),(-12.5490237314154+143.888775646141j)
4290000000.0,(-13.0707999457711+18.4139971409253j),(-2.53045315437149-24.5869618286064j),(-2.54461052667771-24.5023620316899j),(-12.7181127447552+142.664198059566j)
4300000000.0,(-13.2604954021931+18.0887798005605j),(-2.52766064855866-25.2908747254087j),(-2.53729963154412-25.4161712190636j),(-12.9643457862189+141.55774290466j)
4310000000.0,(-13.5151046118264+18.1262205226326j),(-2.49497890115901-26.3571624261214j),(-2.51389329523562-26.4248424012452j),(-13.0985274210748+141.966553910866j)
4320000000.0,(-13.7794548305766+18.7697394509994j),(-2.50405629071359-27.0522294930325j),(-2.50013661750361-27.2685292237211j),(-13.3226984422566+141.665971251508j)
4330000000.0,(-14.0952516331413+18.7762770237969j),(-2.48606404807508-28.1051711097913j),(-2.51394127506406-28.1302354892247j),(-13.4380465777366+140.605707385408j)
4340000000.0,(-14.2564644495983+18.638722389163j),(-2.50587729823954-29.0400883768934j),(-2.50211752861423-29.0356655544064j),(-13.5905445812455+140.848723076332j)
4350000000.0,(-14.5950557365822+18.7704809442967j),(-2.46311234459509-29.8873416008553j),(-2.50856710188087-30.0837897256959j),(-13.8838572600946+140.394136115147j)
4360000000.0,(-14.954761108445+19.3459219005741j),(-2.46247220690974-30.8966763344492j),(-2.48308574774764-30.935503757271j),(-13.983876663443+141.035818261279j)
4370000000.0,(-15.1096551091799+19.6565559621186j),(-2.47112313732561-31.9484735475078j),(-2.4727490206597-31.9245407978348j),(-14.1806209922227+141.202299655541j)
4380000000.0,(-15.388796582622+19.5167236958729j),(-2.48038112749811-32.6749794502225j),(-2.48214636791429-32.9171871952379j),(-14.3967183510165+141.48540031839j)
4390000000.0,(-15.6173651710353+20.3297428758659j),(-2.46903066211652-33.7402520721007j),(-2.47344557163561-33.8616089984374j),(-14.7112682702624+141.774032362654j)
4400000000.0,(-15.8123435930704+21.3001602652503j),(-2.48060942738667-34.6445066135746j),(-2.48260552737024-34.6535465607313j),(-15.033012201233+142.202675515696j)
4410000000.0,(-16.2781367992226+22.0541034968431j),(-2.46609103951782-35.4061399315986j),(-2.4547217653551-35.5994092808805j),(-15.325739828618+141.96829080584j)
4420000000.0,(-16.6634871065634+23.4621212100968j),(-2.45424459679478-36.4451581509039j),(-2.48585567015115-36.6647648610804j),(-15.6831411213573+142.593063462117j)
4430000000.0,(-17.0804135426241+24.0299833061578j),(-2.43416342402522-37.4393607291172j),(-2.49232252448831-37.5967624742889j),(-16.1163312374708+141.709695601249j)
4440000000.0,(-17.4553114762183+23.9021043467474j),(-2.4587208116295-38.3373891617073j),(-2.47004958572602-38.4033845579982j),(-16.3128474836685+142.466070764933j)
4450000000.0,(-17.82202169581+26.1124997657261j),(-2.45306232278279-39.3507536656029j),(-2.46442637050613-39.4048118494493j),(-16.4799982292449+143.696873152967j)
4460000000.0,(-18.2771421090169+27.2358520786939j),(-2.43157849690335-40.4030094263183j),(-2.46101101218386-40.3455270477515j),(-16.6974189235498+145.091500994477j)
4470000000.0,(-18.8987759852676+28.533913808952j),(-2.45551115116153-41.3331068493008j),(-2.46312169435151-41.3040631265536j),(-16.8328999287399+145.938577834076j)
4480000000.0,(-19.1514528139245+30.3557465599922j),(-2.44372578096892-42.2805454027564j),(-2.47501488418708-42.2883812227123j),(-17.1399983131359+146.632126760444j)
4490000000.0,(-19.4135403625564+32.5138725595587j),(-2.45247319102767-43.1882454265338j),(-2.45529142024858-43.1237764836218j),(-17.4748849540383+149.624444879708j)
4500000000.0,(-19.8136946329891+34.3667373722142j),(-2.43908599953203-44.1653192997471j),(-2.47226237743247-44.0710775780844j),(-17.7077385326416+151.605612360483j)
4510000000.0,(-20.2110290301546+37.7708086286411j),(-2.46038636087449-45.1202689748773j),(-2.46847241824228-45.1170347090872j),(-17.9540470929302+152.343206387585j)
4520000000.0,(-20.4670386304297+41.0054822723976j),(-2.45648444933833-46.1486896745791j),(-2.46329353456722-46.1815528297663j),(-18.2191026776118+154.78086050796j)
4530000000.0,(-20.8185332517192+43.0024231785205j),(-2.46220560799082-47.1243213991835j),(-2.47206880753432-47.0395862636913j),(-18.5473095676643+157.511593237998j)
4540000000.0,(-21.1019605765664+46.4893050488484j),(-2.46986362635693-47.8478055931108j),(-2.46701419701503-47.9011286239383j),(-18.7860542545583+159.446299471383j)
4550000000.0,(-21.4919763750883+51.5817616245442j),(-2.46209122210159-49.0706102505969j),(-2.48366582212429-48.9495396081187j),(-19.0733883078377+161.296739723079j)
4560000000.0,(-22.0623132261289+55.5289758637533j),(-2.45597476123073-49.924702500518j),(-2.4704969426443-49.9093823980909j),(-19.2376220229111+163.364310729452j)
4570000000.0,(-22.4282460831791+61.0426390502065j),(-2.47501817359818-50.699503667265j),(-2.48308968268704-50.9168284355669j),(-19.3795462538882+164.665491067144j)
4580000000.0,(-22.6338721350109+66.6982683575262j),(-2.46842461517364-51.599801773424j),(-2.47383978745129-51.7685194106409j),(-19.3059515849418+166.958721272148j)
4590000000.0,(-22.6517651537499+70.223210585883j),(-2.46722436608982-52.8550130803234j),(-2.47287068011993-52.6722257025186j),(-19.1861345369102+170.211351654417j)
4600000000.0,(-22.7478611785766+75.7333759756243j),(-2.49413612168219-53.6359298943675j),(-2.5016210313125-53.58720339703j),(-19.0676791206629+172.719320814618j)
4610000000.0,(-22.7517265413958+81.7011957662983j),(-2.49685089789811-54.7944005515454j),(-2.49876331885213-54.6139133408j),(-18.8565725025258+176.160993332751j)
4620000000.0,(-22.2842120852023+86.5932491041696j),(-2.49280956940605-55.5289009877362j),(-2.5102239265283-55.4563461054102j),(-19.0338836699425+179.380306822973j)
4630000000.0,(-22.1261342834369+88.763486117802j),(-2.50990321367456-56.6823565303074j),(-2.50609378965312-56.5002302132269j),(-18.7836589358574-177.454717912708j)
4640000000.0,(-21.6478215355063+95.2215417503881j),(-2.49178641683062-57.4503657499424j),(-2.51568281496977-57.5348175200874j),(-18.8176252719083-173.814428296158j)
4650000000.0,(-21.3074020720766+98.0632737939207j),(-2.52527247312964-58.6043185355497j),(-2.51373021902891-58.3087639889899j),(-18.7048784484732-172.059351207324j)
4660000000.0,(-20.9828413251911+100.189495221504j),(-2.50064731087103-59.403642850645j),(-2.53827654547485-59.1644046905266j),(-18.5960883406639-169.182938470941j)
4670000000.0,(-20.5375379000041+103.378343434563j),(-2.50835088526599-60.3657177685128j),(-2.52129452697174-60.303745017912j),(-18.315670091476-168.71505732976j)
4680000000.0,(-20.4663975388835+107.380468585722j),(-2.53769362087349-61.3378368637314j),(-2.54328398165427-61.2930659834451j),(-18.2777702334534-166.638194885536j)
4690000000.0,(-19.7189695887282+110.532082185917j),(-2.5409256958703-62.265839824861j),(-2.55453180443588-62.1759119087638j),(-18.1561206785166-165.343709189023j)
4700000000.0,(-19.283505185721+113.277154346165j),(-2.55444280526834-63.1581324904959j),(-2.56577920590652-63.2254039096333j),(-17.8424295881955-164.785469169912j)
4710000000.0,(-19.0544171439212+116.215185135001j),(-2.57656169820188-64.1259496979643j),(-2.57133096555471-64.0557744840087j),(-17.3574242954607-163.254188019044j)
4720000000.0,(-18.7164177734786+117.852436252904j),(-2.58245958152649-65.0181138772834j),(-2.60134405408587-65.08576308223j),(-17.1041336399616-162.992882743299j)
4730000000.0,(-18.2586703465091+119.526263924427j),(-2.6117793045317-65.9589859818291j),(-2.60259440782965-65.9412062864995j),(-16.7066896481742-161.529817929129j)
4740000000.0,(-17.8935207040577+120.420784934662j),(-2.58593080198003-66.7409792190254j),(-2.59940879635078-66.9096257706258j),(-16.3433326868266-159.804422596889j)
4750000000.0,(-17.5034560415458+120.655236832241j),(-2.59837626410425-67.9207122651719j),(-2.61386883988482-67.7921599098351j),(-16.1447039068079-158.359651285375j)
4760000000.0,(-17.1357546743+122.360972576542j),(-2.6071260779101-68.8371912815567j),(-2.63334720468268-68.9051197350582j),(-15.9789484046416-156.738151491567j)
4770000000.0,(-16.8045148322089+123.304760117446j),(-2.63723979439314-69.7739685214452j),(-2.63799563107682-69.6915862297162j),(-15.5589633264881-156.437791529721j)
4780000000.0,(-16.403784851249+123.117779363597j),(-2.63451081654458-70.6294049769452j),(-2.64512898751067-70.7067746986835j),(-15.4261006708958-156.49242266271j)
