Frequency,S11,S21,S12,S22
2140000000.0,(-0.12743149164837173-0.07328764967482339j),(-37.643695036373835-0.2226498213963161j),(-37.53432793910469-0.8271473489080567j),(0.028098577194679418-0.009964141441134416j)
2142000000.0,(-0.1357935693507099-0.07722891137385257j),(-37.643353330929024-1.3198604438737886j),(-37.746305446469044+0.29865560745521397j),(0.0343716798423883-0.012247519540150428j)
2144000000.0,(-0.11344791409845759-0.0643274560765835j),(-37.93678082264311-1.4597274781725575j),(-37.545957211945115-0.8714160509902488j),(0.049288932792222656-0.017430671104370906j)
2146000000.0,(-0.11100311059693438-0.06282996008756836j),(-37.38089434736211-0.5328770903003667j),(-37.676125880810815-0.015283223184473413j),(0.030440200394821277-0.010783929818024424j)
2148000000.0,(-0.11590185238813389-0.06495178041588438j),(-37.481609166400965+0.6962972898082042j),(-37.650370778236095+0.8206881082985221j),(0.043700398380718763-0.015671931396581993j)
2150000000.0,(-0.11962714839904337-0.06663953461450384j),(-37.55026828631192+0.1860681053000364j),(-37.69961992913826+0.2643791258090277j),(0.03302130522189133-0.011787242666218998j)
2152000000.0,(-0.11065418283815272-0.061432872948682514j),(-37.781479643966804+0.2074105321795881j),(-37.606550353032766+0.7596854687446568j),(0.03571059448426591-0.01273205421489202j)
2154000000.0,(-0.1179498689187635-0.0647423405532138j),(-37.718273350651685-0.031378998212143315j),(-37.43279444417761+0.6605591144867137j),(0.036888168036018895-0.013157014081384782j)
2156000000.0,(-0.12040425481999707-0.06573503603194328j),(-37.60214894261712+0.17961809874151968j),(-37.70029274660117+0.04337409112869564j),(0.0440429855436242-0.015653440226910263j)
2158000000.0,(-0.12984359841322052-0.07062199987105781j),(-37.69425582648186+0.011813171337766203j),(-37.55051432252489+0.32538122365127886j),(0.0417639316387333-0.014955930420313842j)
2160000000.0,(-0.13645235600621494-0.07366987189928911j),(-37.60982949044183+1.2217531529204602j),(-37.81633407275065+0.6386961987940903j),(0.0372520973944401-0.013301136981602608j)
2162000000.0,(-0.13864103552392856-0.07398429077089272j),(-37.67101777142619+0.18796088196468103j),(-37.524026530424564+1.7497782933895807j),(0.03456668798617705-0.012393882939440399j)
2164000000.0,(-0.12793118255255484-0.0680322461180086j),(-37.71533127044659+0.5218400531127462j),(-37.64958264426894+1.3658148744207377j),(0.03326974025671234-0.011971842947497004j)
2166000000.0,(-0.13657904383471645-0.07203814830510623j),(-37.5900231284374+1.7981167991371718j),(-37.65921087683232+1.4050687880736241j),(0.030864625342507505-0.011095054293564804j)
2168000000.0,(-0.11710793999297603-0.06144685802551855j),(-37.50143759155538+2.5292709440194545j),(-37.37635094858422+0.784194420544052j),(0.051798331612579386-0.01863695087152831j)
2170000000.0,(-0.1174769307994706-0.061162673563158985j),(-37.4459506473814+0.5849183777872768j),(-37.56649153171573+0.6057884772325811j),(0.03350262812552695-0.012089240403586162j)
2172000000.0,(-0.12984330666329064-0.06740666748952885j),(-37.5466773830526+1.9257591568152788j),(-37.53859289037837+0.9664482735618437j),(0.04452611400013854-0.01607811705708364j)
2174000000.0,(-0.12727668896642838-0.06565762199650062j),(-37.3162924872206-0.2750955850688638j),(-37.511887045771985+1.4429074665936341j),(0.040745731280013825-0.014691911310741379j)
2176000000.0,(-0.12439070950739388-0.06346544522333523j),(-37.844394193233384+1.540100539697205j),(-37.28700232682885+0.5772495139169825j),(0.04424470915012672-0.015967687063561664j)
2178000000.0,(-0.10744984965094508-0.05466500349198349j),(-37.38357787577666+2.670201120414493j),(-37.54545142394554+0.8173454327877002j),(0.044729785888560546-0.016201666333520916j)
2180000000.0,(-0.12618130261338814-0.063296275712436j),(-37.56103421471825+1.4047296309207j),(-37.70880501017865+1.393387595969866j),(0.03407573014785194-0.012324571715102942j)
2182000000.0,(-0.13691391770109448-0.06873693153100936j),(-37.35208065384971+2.20911424876825j),(-37.440793973489704+1.2212032578288228j),(0.04513168977385773-0.016373782508753744j)
2184000000.0,(-0.1344738982779505-0.06656398152535346j),(-37.253918349035835+0.7744510826136816j),(-37.462236527926464+1.7015564481927654j),(0.04302142487877908-0.015590778163106594j)
2186000000.0,(-0.1304517997250571-0.06426904318791091j),(-37.351540962408755+0.6273266655907579j),(-37.36804313054564+1.339730215804149j),(0.022210454570707812-0.008068455380908985j)
2188000000.0,(-0.14814707275975117-0.07278551703221786j),(-37.38896240041946+1.0460370587272525j),(-37.27029494114591+1.1316224032916198j),(0.03354960193568807-0.012142590114041082j)
