,s 11,s 12,s 21,s 22
1.0144,(-0.0572815761+0.1380163729j),(0.9896727204+0.151532501j),(0.9902522564+0.1500878632j),(0.05521588027+0.1388336122j)
1.0176,(-0.05839715526+0.136100322j),(0.9896013737+0.1509466618j),(0.9902126789+0.1498958617j),(0.05544837192+0.1396825612j)
1.0208,(-0.06517904997+0.1405171752j),(0.9886324406+0.1519556344j),(0.9888029695+0.1513938904j),(0.06128656492+0.1376823485j)
1.024,(-0.05643996969+0.1447117329j),(0.9907217026+0.1517242491j),(0.9901959896+0.1512769908j),(0.05334439129+0.1335151345j)
1.0272,(-0.05187045783+0.1381990761j),(0.9900312424+0.1522255242j),(0.9903271198+0.1517878175j),(0.04944109172+0.1381922364j)
1.0304,(-0.0545364432+0.142899543j),(0.9903460145+0.1527733803j),(0.9901078939+0.1529179215j),(0.05198795721+0.1350226253j)
1.0336,(-0.05152843893+0.1413924247j),(0.9901629686+0.1534231156j),(0.9900240898+0.1519231796j),(0.04945018142+0.138019219j)
1.0368,(-0.05536089092+0.1416631937j),(0.9896854758+0.1537629515j),(0.9895873666+0.1529101282j),(0.05193083733+0.1378007233j)
1.04,(-0.05599212646+0.1443787962j),(0.9905244112+0.1541084945j),(0.9902457595+0.1532538235j),(0.05312911421+0.1351363808j)
1.0432,(-0.06292748451+0.1405180991j),(0.9891434908+0.1554581523j),(0.9887201786+0.155102998j),(0.05935457349+0.1421943307j)
1.0464,(-0.05222424865+0.1362777352j),(0.9893232584+0.1546559334j),(0.9893900752+0.153165549j),(0.04661072046+0.143027842j)
1.0496,(-0.05822528899+0.143713057j),(0.9900330901+0.1556434929j),(0.9892536402+0.1543874741j),(0.05574274808+0.1377898455j)
1.0528,(-0.06088763475+0.1454951465j),(0.9896134138+0.155906707j),(0.9903563261+0.1554384232j),(0.05781197548+0.1362296343j)
1.056,(-0.05922774971+0.1389003247j),(0.9879820943+0.1564299166j),(0.9886648059+0.1561836004j),(0.05433196202+0.1438981742j)
1.0592,(-0.04432442784+0.1375863105j),(0.9891226292+0.1559151709j),(0.9898506403+0.1546235383j),(0.03992854059+0.1445496082j)
1.0624,(-0.05436963588+0.1453977823j),(0.9892978668+0.1570802927j),(0.9896872044+0.1564717293j),(0.04987906665+0.138156876j)
1.0656,(-0.05707360804+0.1438907683j),(0.9889703989+0.1569051594j),(0.9904227853+0.1560856253j),(0.05334019288+0.139733389j)
