,s 11,s 12,s 21,s 22
1.0912,(-0.07439868152+0.1291090697j),(0.9863922596+0.1457545757j),(0.9877182245+0.1441153586j),(0.07461603731+0.1284309924j)
1.0944,(-0.05224334449+0.1254601032j),(0.9875768423+0.1443782747j),(0.9892017245+0.1433100104j),(0.05262136832+0.1311580837j)
1.0976,(-0.06413428485+0.1129491925j),(0.9869167209+0.1438286155j),(0.9877732992+0.1428334713j),(0.06256289035+0.1445818841j)
1.1008,(-0.06231717393+0.1330379546j),(0.9882795811+0.1459316909j),(0.9888612032+0.1441062987j),(0.06364636868+0.1252167225j)
1.104,(-0.05192093924+0.1257423311j),(0.9875990748+0.1456004977j),(0.9886198044+0.1431890428j),(0.05236491561+0.1322626024j)
1.1072,(-0.04008101299+0.1221543103j),(0.9888672829+0.1437866688j),(0.9897267818+0.1434817314j),(0.03945563734+0.134103328j)
1.1104,(-0.04793449864+0.1393554956j),(0.9890090227+0.1457707584j),(0.9895965457+0.1447799504j),(0.0480350554+0.1186323464j)
1.1136,(-0.05329742283+0.134195745j),(0.9885699153+0.147357896j),(0.989025414+0.1466968507j),(0.05339571834+0.1250534654j)
1.1168,(-0.04642513767+0.1368540674j),(0.9884274006+0.1467394531j),(0.9889437556+0.1454963833j),(0.04590704665+0.1218723059j)
1.12,(-0.05314322561+0.141523093j),(0.9881440997+0.1473492682j),(0.9889432788+0.1458123624j),(0.05237369239+0.1191773862j)
1.1232,(-0.06483913213+0.1361064613j),(0.9871459603+0.1487090588j),(0.9874605536+0.1486373246j),(0.06473378837+0.125719592j)
1.1264,(-0.05415878445+0.139257431j),(0.9879983664+0.1485184729j),(0.9887128472+0.147043407j),(0.05382923037+0.120898366j)
1.1296,(-0.05421676487+0.1466504335j),(0.988635838+0.1498481035j),(0.9898910522+0.1473059058j),(0.0547696799+0.1147798523j)
1.1328,(-0.05571494624+0.1414702833j),(0.9874634743+0.1494807899j),(0.9874623418+0.1477536559j),(0.05522075668+0.1198752373j)
1.136,(-0.05787502229+0.1342307031j),(0.9876123667+0.1492875069j),(0.9875618219+0.1481071264j),(0.05576429516+0.1295641065j)
1.1392,(-0.06540014595+0.1441502124j),(0.987996459+0.1523750126j),(0.9879301786+0.1501116157j),(0.06541762501+0.1188957915j)
1.1424,(-0.06227695942+0.1318835169j),(0.9870458841+0.150744319j),(0.9872983098+0.1499291658j),(0.06020981818+0.1317453831j)
1.1456,(-0.06764585525+0.1383697093j),(0.986818254+0.1510873288j),(0.9870064259+0.1496893615j),(0.06662388891+0.1251761019j)
1.1488,(-0.06637623906+0.1241215467j),(0.9856142998+0.1509757042j),(0.9864743948+0.1502158344j),(0.0631069839+0.140684098j)
1.152,(-0.06828142703+0.1307588071j),(0.985807538+0.1523662806j),(0.9867714643+0.1516565382j),(0.06695375592+0.1332098842j)
1.1552,(-0.0650440827+0.1354847997j),(0.986125648+0.151714161j),(0.9868274927+0.1507087052j),(0.06306237727+0.1294891238j)
1.1584,(-0.0583976768+0.1355612129j),(0.9868321419+0.1518488228j),(0.9868252277+0.1516550779j),(0.05648101494+0.1290851533j)
1.1616,(-0.05923177302+0.1312709451j),(0.9863165617+0.1523401737j),(0.9872162342+0.1518492997j),(0.05699983984+0.1345029175j)
1.1648,(-0.0622440204+0.1309454441j),(0.9862561822+0.1529429704j),(0.9872274399+0.1517866552j),(0.05976340175+0.1334138513j)
