%Frequency  / Hz	S1,1 Zr: 50 Ω Mag	S1,1 Zr: 50 Ω Phase / °	S2,1 Zr: 50 Ω Mag	S2,1 Zr: 50 Ω Phase / °	S1,2 Zr: 50 Ω Mag	S1,2 Zr: 50 Ω Phase / °	S2,2 Zr: 50 Ω Mag	S2,2 Zr: 50 Ω Phase / °
823680000.000000000	0.354427715	-97.994754122	0.897752388	-19.043047087	0.897224533	-19.047301304	0.282199962	-120.141077332
824320000.000000000	0.354502892	-98.005690570	0.896954940	-19.077991530	0.896926076	-19.069105281	0.281936104	-120.219909004
824960000.000000000	0.355175122	-97.995481639	0.897467157	-19.082805766	0.896856019	-19.061821111	0.282200909	-120.235639983
825600000.000000000	0.355109114	-97.997751459	0.896926145	-19.090468919	0.896775126	-19.102756971	0.282012557	-120.260235050
826240000.000000000	0.355176210	-97.989713186	0.896821656	-19.096468517	0.896476469	-19.078230544	0.282548811	-120.201948498
826880000.000000000	0.355559825	-97.985809263	0.896808201	-19.112567820	0.896672871	-19.111156666	0.282464430	-120.292667676
827520000.000000000	0.355847224	-98.041981899	0.896598561	-19.116123784	0.896689163	-19.112357869	0.282328407	-120.252230366
828160000.000000000	0.356214353	-98.049367790	0.896426358	-19.144665366	0.896330256	-19.106299590	0.282463400	-120.340304024
828800000.000000000	0.356376755	-98.032433534	0.896225722	-19.138774118	0.896338298	-19.133082777	0.282719026	-120.334476450
829440000.000000000	0.356320583	-98.046641774	0.896018679	-19.117434914	0.895600006	-19.126808053	0.282772654	-120.223601111
830080000.000000000	0.357012287	-98.073734172	0.896175304	-19.173043232	0.896192586	-19.154503025	0.283051311	-120.297333374
830720000.000000000	0.356920258	-98.050627323	0.895587143	-19.165107417	0.895732762	-19.156786564	0.283012255	-120.311807254
831360000.000000000	0.357502809	-98.126379650	0.895414205	-19.157989026	0.895385154	-19.143590914	0.282939295	-120.289440012
832000000.000000000	0.357823482	-98.081423099	0.895666238	-19.194324590	0.895511244	-19.210095671	0.283164130	-120.393955718
832640000.000000000	0.357828497	-98.111395020	0.895381927	-19.193955977	0.895114821	-19.173704769	0.283120909	-120.300105453
833280000.000000000	0.357983370	-98.133733632	0.895273327	-19.191974883	0.895305163	-19.176471859	0.283248015	-120.329126067
833920000.000000000	0.358303879	-98.087975686	0.895219434	-19.218671734	0.895067514	-19.206917901	0.283264729	-120.385371810
834560000.000000000	0.358292906	-98.129415313	0.894468674	-19.194988154	0.894837134	-19.212091207	0.283661857	-120.360269960
835200000.000000000	0.358933472	-98.161340339	0.894993209	-19.241958998	0.894288025	-19.196819811	0.283445763	-120.384575270
835840000.000000000	0.359048049	-98.177927800	0.894609494	-19.224703485	0.894524267	-19.209426046	0.283657147	-120.332569386
