Frequency,S11,S21
2.0699,(-36.866581155633-104.530682062194j),(-36.866581155633-104.530682062194j)
2.0716,(-36.726570118707-103.20213670739j),(-36.726570118707-103.20213670739j)
2.0733,(-36.5842628898562-102.100792495652j),(-36.5842628898562-102.100792495652j)
2.075,(-36.4384265876906-101.330474956332j),(-36.4384265876906-101.330474956332j)
2.0767,(-36.2798365382521-101.012823393075j),(-36.2798365382521-101.012823393075j)
2.0784,(-36.1383986394237-101.283170637426j),(-36.1383986394237-101.283170637426j)
2.0801,(-36.0208373318636-102.203582039894j),(-36.0208373318636-102.203582039894j)
2.0818,(-35.9682875218635-103.655716334668j),(-35.9682875218635-103.655716334668j)
2.0835,(-35.9496902481386-105.214983591093j),(-35.9496902481386-105.214983591093j)
2.0852,(-35.9573842598806-106.855140742526j),(-35.9573842598806-106.855140742526j)
2.0869,(-35.9853686665342-108.54035418909j),(-35.9853686665342-108.54035418909j)
2.0886,(-36.0251909708692-110.019250688739j),(-36.0251909708692-110.019250688739j)
2.0903,(-36.0815808439079-111.267176673781j),(-36.0815808439079-111.267176673781j)
2.092,(-36.1471919793532-112.238801385372j),(-36.1471919793532-112.238801385372j)
2.0937,(-36.2157233072678-112.722706200434j),(-36.2157233072678-112.722706200434j)
2.0954,(-36.3127141084895-113.058252670798j),(-36.3127141084895-113.058252670798j)
2.0971,(-36.4033807415835-113.041573207143j),(-36.4033807415835-113.041573207143j)
2.0988,(-36.4796069279951-112.765304714264j),(-36.4796069279951-112.765304714264j)
2.1005,(-36.5664131500277-112.07728824407j),(-36.5664131500277-112.07728824407j)
2.1022,(-36.8958066725238-110.22044732157j),(-36.8958066725238-110.22044732157j)
2.1039,(-37.3128095424159-106.342234757524j),(-37.3128095424159-106.342234757524j)
2.1056,(-37.675938209254-100.508679637683j),(-37.675938209254-100.508679637683j)
2.1073,(-37.9250460971167-93.4987684773591j),(-37.9250460971167-93.4987684773591j)
2.109,(-38.0988449601026-85.7725421107329j),(-38.0988449601026-85.7725421107329j)
2.1107,(-38.2462652968373-77.7790472299765j),(-38.2462652968373-77.7790472299765j)
2.1124,(-38.4311415456797-69.8366921331385j),(-38.4311415456797-69.8366921331385j)
2.1141,(-38.7380437570362-62.6399516962443j),(-38.7380437570362-62.6399516962443j)
2.1158,(-39.1449740999939-57.4426398495106j),(-39.1449740999939-57.4426398495106j)
2.1175,(-39.4606987525224-55.3217447900834j),(-39.4606987525224-55.3217447900834j)
2.1192,(-39.4810880234174-54.8544005815575j),(-39.4810880234174-54.8544005815575j)
2.1209,(-39.5543384333249-54.9215358742427j),(-39.5543384333249-54.9215358742427j)
2.1226,(-39.6923244181155-55.5365497106463j),(-39.6923244181155-55.5365497106463j)
2.1243,(-39.9671152328916-56.9934481211325j),(-39.9671152328916-56.9934481211325j)
2.126,(-40.1818445918095-58.7759957862245j),(-40.1818445918095-58.7759957862245j)
2.1277,(-40.1186571538163-61.7167994554996j),(-40.1186571538163-61.7167994554996j)
2.1294,(-39.9665910775306-66.685666895319j),(-39.9665910775306-66.685666895319j)
2.1311,(-39.8315636655731-73.3955239474556j),(-39.8315636655731-73.3955239474556j)
2.1328,(-39.7949700988953-81.3491995876987j),(-39.7949700988953-81.3491995876987j)
2.1345,(-39.819953886229-89.9668467325803j),(-39.819953886229-89.9668467325803j)
2.1362,(-39.8464384939334-98.633404387541j),(-39.8464384939334-98.633404387541j)
2.1379,(-39.8298011494722-107.169022211958j),(-39.8298011494722-107.169022211958j)
2.1396,(-39.6809324454735-115.186424527438j),(-39.6809324454735-115.186424527438j)
2.1413,(-39.4303713538312-121.423623555339j),(-39.4303713538312-121.423623555339j)
2.143,(-39.2649458253897-124.765704255548j),(-39.2649458253897-124.765704255548j)
2.1447,(-39.3891129197171-126.7751651032j),(-39.3891129197171-126.7751651032j)
2.1464,(-39.4510061652887-128.324574697112j),(-39.4510061652887-128.324574697112j)
2.1481,(-39.4364394537077-129.557581400716j),(-39.4364394537077-129.557581400716j)
2.1498,(-39.3231740130067-129.5047956199j),(-39.3231740130067-129.5047956199j)
2.1515,(-39.2567493060683-128.76819010752j),(-39.2567493060683-128.76819010752j)
2.1532,(-39.1948178291091-127.382525572971j),(-39.1948178291091-127.382525572971j)
2.1549,(-39.0924863872165-125.286063553693j),(-39.0924863872165-125.286063553693j)
2.1566,(-39.0082230186146-123.159235100335j),(-39.0082230186146-123.159235100335j)
2.1583,(-38.8938484710729-120.856225427784j),(-38.8938484710729-120.856225427784j)
2.16,(-38.7747094339149-118.605424638578j),(-38.7747094339149-118.605424638578j)
2.1617,(-38.6599774277641-116.391914523043j),(-38.6599774277641-116.391914523043j)
2.1634,(-38.5163604859104-114.217657141452j),(-38.5163604859104-114.217657141452j)
2.1651,(-38.3724850008923-111.954060179857j),(-38.3724850008923-111.954060179857j)
2.1668,(-38.2165106054485-109.806697444425j),(-38.2165106054485-109.806697444425j)
2.1685,(-38.0633400253992-107.799761044478j),(-38.0633400253992-107.799761044478j)
2.1702,(-37.9136528537797-105.934805353613j),(-37.9136528537797-105.934805353613j)
2.1719,(-37.7510599662118-104.238162833996j),(-37.7510599662118-104.238162833996j)
2.1736,(-37.6615845115341-102.972713822225j),(-37.6615845115341-102.972713822225j)
2.1753,(-37.6283558503639-102.951811575998j),(-37.6283558503639-102.951811575998j)
