%Frequency  / Hz	S1,1 Zr: 50 Ω Mag	S1,1 Zr: 50 Ω Phase / °	S2,1 Zr: 50 Ω Mag	S2,1 Zr: 50 Ω Phase / °	S1,2 Zr: 50 Ω Mag	S1,2 Zr: 50 Ω Phase / °	S2,2 Zr: 50 Ω Mag	S2,2 Zr: 50 Ω Phase / °
209708970.897090000	0.057409342	-146.553262559	0.906456517	36.129781336	0.885136302	36.367835419	0.038052122	-76.829693260
211508150.815082000	0.052558080	161.347952635	0.905424481	20.889477438	0.884587730	21.265191780	0.038876573	-98.871019026
213307330.733073000	0.060925847	111.211451938	0.903794591	5.668101954	0.884091105	6.155529187	0.038965755	-120.143851354
215106510.651065000	0.076811170	70.748299126	0.902447690	-9.637866202	0.882283143	-8.882086468	0.037840849	-140.520636832
216905690.569057000	0.093349139	36.921423618	0.898339151	-24.786467613	0.882534255	-24.043037055	0.036269636	-160.770914622
218704870.487049000	0.108295477	6.083763809	0.896031240	-40.006467986	0.881337171	-39.193174918	0.034380470	-179.972786744
220504050.405041000	0.119850990	-23.204776870	0.894182410	-55.119380376	0.880226077	-54.306643673	0.032221582	162.811383407
222303230.323032000	0.127138550	-52.934450329	0.891184060	-70.295735227	0.879691953	-69.420758684	0.029769471	148.839330248
224102410.241024000	0.131868242	-83.225255187	0.888773204	-85.386727516	0.880347317	-84.657049888	0.027601881	139.140634552
225901590.159016000	0.134686976	-114.693661832	0.886107191	-100.555903174	0.879666243	-99.787360701	0.026719695	136.319050748
227700770.077008000	0.137861631	-147.024035224	0.884721283	-115.596520496	0.877590300	-114.866137096	0.031032187	132.922843417
229499949.994999000	0.141829542	-179.514672183	0.881401444	-130.651830244	0.876831591	-130.019956460	0.038541898	126.104225026
231299129.912991000	0.148583755	148.272293304	0.879230401	-145.810676091	0.875278623	-145.131171363	0.047677419	112.442963315
233098309.830983000	0.160597310	117.928068803	0.876355668	-169.211377926	0.875044826	-151.720504315	0.061582102	98.830963566
234897489.748975000	0.164692977	89.097011343	0.874737111	177.542291917	0.874375441	-168.534936036	0.068277787	81.373702908
236696669.666967000	0.165702281	60.844942125	0.874398367	164.305769991	0.872821307	174.675354694	0.072687904	61.984687565
238495849.584958000	0.162496855	32.894623912	0.873193357	150.914955468	0.871428585	157.849477477	0.075352205	42.021905466
240295029.502950000	0.154100503	5.090352197	0.873438130	137.680851323	0.870813971	140.999603890	0.075022889	21.813138796
242094209.420942000	0.140452567	-23.158275608	0.874942708	124.262321344	0.870224183	124.318163227	0.073501343	0.742924259
