Frequency,S11 Re,S11 Im,S21 Re,S21 Im
1.7144,-0.1504131705,-0.313511163,0.8932730556,-0.2398274392
1.71458,-0.1504780054,-0.3135144711,0.8931431174,-0.2397844195
1.71476,-0.1504771113,-0.3135094643,0.8929742575,-0.2397270352
1.71494,-0.1505539566,-0.3134071231,0.8930436969,-0.2397448868
1.71512,-0.1505247355,-0.3134816885,0.892940402,-0.2399105728
1.7153,-0.1506133527,-0.3134429157,0.8930393457,-0.2398430556
1.71548,-0.1506881714,-0.3135038614,0.8930910826,-0.2398240119
1.71566,-0.1507322788,-0.3136291206,0.8931298256,-0.2398663163
1.71584,-0.1507867128,-0.3135824203,0.8930678964,-0.239703089
1.71602,-0.1508260071,-0.313552022,0.8929835558,-0.2399042547
1.7162,-0.1508189738,-0.3135700524,0.893048048,-0.2398313433
1.71638,-0.1508674324,-0.3135805726,0.8931204677,-0.2397298664
1.71656,-0.1508859694,-0.3135869801,0.8930703998,-0.2399164736
1.71674,-0.1508443207,-0.3136283159,0.8929514885,-0.2399163395
1.71692,-0.1509208381,-0.3136603534,0.8928767443,-0.239831388
1.7171,-0.150947988,-0.3136824369,0.8928909302,-0.2399942577
1.71728,-0.1509702951,-0.3137919903,0.8931139112,-0.240026772
1.71746,-0.1511293799,-0.313687712,0.8928231597,-0.240021795
1.71764,-0.151121825,-0.3137308061,0.8929103017,-0.2400939912
1.71782,-0.1510623842,-0.3137824237,0.8928660154,-0.2400157303
1.718,-0.1511006653,-0.3137069941,0.892965734,-0.240003854
1.71818,-0.1511131525,-0.3136376739,0.8928862214,-0.2400505543
1.71836,-0.1511416882,-0.3136407137,0.892832458,-0.2401162237
1.71854,-0.1511846781,-0.3138142228,0.8928627968,-0.2400103509
1.71872,-0.1511671543,-0.3137330413,0.8928281665,-0.2401024848
1.7189,-0.1512450576,-0.3137694597,0.8929159045,-0.2399564534
1.71908,-0.1512386054,-0.3138513863,0.8928519487,-0.2401182204
1.71926,-0.1513055712,-0.3137954473,0.8929074407,-0.2401768565
1.71944,-0.1513228416,-0.3137254417,0.8929817677,-0.2400536537
1.71962,-0.1513356864,-0.3136903048,0.8929429054,-0.2401527166
1.7198,-0.1513718218,-0.3137876093,0.8927650452,-0.24019593
1.71998,-0.1513727605,-0.3137385547,0.8927884698,-0.2401325107
1.72016,-0.1513034403,-0.3137628436,0.8927048445,-0.2401283234
1.72034,-0.1513534486,-0.3137131631,0.892555356,-0.2401348799
1.72052,-0.1513701081,-0.3138572574,0.8926918507,-0.2401093841
1.7207,-0.1515185684,-0.3138749003,0.8927255869,-0.2403223366
1.72088,-0.1515402943,-0.3139148355,0.8928769827,-0.2401917428
1.72106,-0.1515966952,-0.3139437139,0.8927209973,-0.2402099371
1.72124,-0.1516443193,-0.3138678968,0.8927341104,-0.2403125167
1.72142,-0.1516779512,-0.3138952255,0.892770946,-0.2403684407
1.7216,-0.151716128,-0.3138020337,0.8926169872,-0.2404004782
1.72178,-0.1517573595,-0.313895911,0.8926323652,-0.2404761314
1.72196,-0.1517662704,-0.3139625192,0.8925881386,-0.2404955626
1.72214,-0.1517558396,-0.3139315844,0.8925474882,-0.2405866683
1.72232,-0.1516961455,-0.3140732646,0.8925359845,-0.2406174093
1.7225,-0.151752159,-0.3140153289,0.8925831318,-0.2405180335
1.72268,-0.1517030448,-0.3140587509,0.8925930262,-0.2405881137
1.72286,-0.1515500247,-0.3140013218,0.8925161958,-0.2405172586
1.72304,-0.1516606212,-0.3140976131,0.8925191164,-0.2403814495
1.72322,-0.1518829316,-0.3140617013,0.8925607204,-0.2407014668
1.7234,-0.1518242657,-0.3142288327,0.8924272656,-0.2405151129
1.72358,-0.1519183069,-0.3141155541,0.8924257755,-0.240586862
1.72376,-0.1518652141,-0.3142713904,0.8923953772,-0.2405830771
1.72394,-0.151838541,-0.3142501712,0.8923553824,-0.2406387925
1.72412,-0.151901871,-0.3142238855,0.8923642039,-0.240522325
1.7243,-0.1520073712,-0.3142678738,0.8924084306,-0.2405686378
1.72448,-0.1520260423,-0.314257443,0.892516017,-0.2406560183
1.72466,-0.151976943,-0.3142228127,0.8923959732,-0.2407911718
1.72484,-0.1519865245,-0.3142273724,0.8923380375,-0.2407339662
1.72502,-0.1520535648,-0.3143313527,0.8923766613,-0.2407748252
1.7252,-0.1521184593,-0.3144233227,0.8922507763,-0.2407474071
1.72538,-0.1520889699,-0.3143513501,0.8922938108,-0.2409710288
1.72556,-0.1520417631,-0.3144897521,0.892414391,-0.2408404201
1.72574,-0.1520045251,-0.3145641387,0.8922806382,-0.2407238781
1.72592,-0.1519581079,-0.3145789802,0.8923299313,-0.2407199442
1.7261,-0.1520218253,-0.3145363927,0.892483294,-0.2408138514
1.72628,-0.1521684974,-0.3145719767,0.8923532367,-0.2408009917
