Frequency,S11 Re,S11 Im,S21 Re,S21 Im
1.72466,-0.1898165792,-0.3001362979,0.9005538225,-0.248047635
1.72484,-0.1898102611,-0.3001265824,0.9003892541,-0.2479991466
1.72502,-0.1897175759,-0.3002770245,0.9004140496,-0.2478437126
1.7252,-0.1898101717,-0.3002712429,0.900313139,-0.2479528636
1.72538,-0.1898896545,-0.3003782332,0.9003530145,-0.2480863631
1.72556,-0.1898251325,-0.300344497,0.900349915,-0.2479299307
1.72574,-0.1897842288,-0.3003440797,0.9002503157,-0.2479419559
1.72592,-0.1898147017,-0.3004024625,0.9003216028,-0.2481483519
1.7261,-0.1898941994,-0.3003996909,0.9003319144,-0.2479253262
1.72628,-0.1897932887,-0.3004773557,0.9002250433,-0.2479938418
1.72646,-0.1899019331,-0.3005007505,0.9003352523,-0.248115927
1.72664,-0.1898747236,-0.3005518615,0.9003640413,-0.2479724884
1.72682,-0.1898618191,-0.3005530834,0.9003785849,-0.2480718046
1.727,-0.1898233742,-0.3004933,0.9003260732,-0.2480012178
1.72718,-0.1898784637,-0.3004278839,0.9003306031,-0.2480880171
1.72736,-0.1898111552,-0.3004137576,0.9003395438,-0.2479023039
1.72754,-0.1898458898,-0.3004659712,0.9003320932,-0.2478300482
1.72772,-0.1899547279,-0.3005793393,0.9002185464,-0.248001948
1.7279,-0.1900080442,-0.3005870581,0.9001499414,-0.2480635941
1.72808,-0.190041706,-0.300627619,0.900090754,-0.2481333464
1.72826,-0.1900206655,-0.3006548285,0.9001990557,-0.2480732501
1.72844,-0.1900854558,-0.3006278276,0.9002444744,-0.2481206656
1.72862,-0.1901752055,-0.3007046282,0.9004151225,-0.2481147647
1.7288,-0.1900904179,-0.3006769419,0.9003784657,-0.2479312122
1.72898,-0.1901188493,-0.3006511927,0.9002498388,-0.2482765019
1.72916,-0.1902009845,-0.3006437421,0.9003891349,-0.2481651306
1.72934,-0.1900810301,-0.3007054925,0.9003334045,-0.2481628209
1.72952,-0.1900809556,-0.3005874753,0.9001559615,-0.2482770532
1.7297,-0.1900591254,-0.3007323146,0.9000892043,-0.2482671589
1.72988,-0.1900034994,-0.3007676601,0.9000435472,-0.2483243644
1.73006,-0.1900982559,-0.3008699417,0.9000676274,-0.2484333962
1.73024,-0.1901784092,-0.300830096,0.8999956846,-0.2483581454
1.73042,-0.1902324557,-0.3008388579,0.9000921845,-0.2484681159
1.7306,-0.1903591305,-0.3008461893,0.900148809,-0.2485136092
1.73078,-0.1902237236,-0.3009019494,0.9000213146,-0.2484734058
1.73096,-0.1902632415,-0.3008956313,0.8999932408,-0.2484128326
1.73114,-0.1901791245,-0.3009266555,0.9000412822,-0.2484179735
1.73132,-0.1901625842,-0.3008379042,0.8999727964,-0.2484508753
1.7315,-0.19035317,-0.3009368479,0.9000384212,-0.248482421
1.73168,-0.1902591735,-0.3009879589,0.8998166919,-0.2483589947
1.73186,-0.1904007494,-0.3009532392,0.8998656869,-0.2484045327
1.73204,-0.1903712451,-0.3010549247,0.8998939991,-0.2486188263
1.73222,-0.1904047579,-0.3011160791,0.8998502493,-0.2487275898
1.7324,-0.1902586222,-0.3010712564,0.8998894095,-0.2485867888
1.73258,-0.1902870536,-0.3010855019,0.8999142051,-0.2484014928
1.73276,-0.1902570426,-0.301068306,0.8997958899,-0.2485741079
1.73294,-0.1903050095,-0.301035285,0.8998058438,-0.24842529
1.73312,-0.1903517544,-0.3010807931,0.8998711109,-0.248622179
1.7333,-0.1903491318,-0.3011284173,0.8998670578,-0.2486139238
1.73348,-0.190396145,-0.3011009097,0.8998565078,-0.2486119568
1.73366,-0.1904731244,-0.3011553884,0.8999288678,-0.2486760765
1.73384,-0.1903835982,-0.3011749387,0.8998092413,-0.2486592829
1.73402,-0.1903979778,-0.3012805283,0.8997964263,-0.2487092763
1.7342,-0.1904392689,-0.3012585044,0.8998202682,-0.2487698942
1.73438,-0.1904586107,-0.3012549877,0.8997610807,-0.2486296892
1.73456,-0.1904729307,-0.3013027608,0.899790287,-0.2487669438
1.73474,-0.1904748529,-0.3012508154,0.8995987773,-0.2487491369
1.73492,-0.1904718131,-0.3012904227,0.8997249007,-0.2487581819
1.7351,-0.1904586554,-0.3013235331,0.8996297717,-0.2487399429
1.73528,-0.1904724538,-0.3012825549,0.899684906,-0.2488950193
1.73546,-0.1904325783,-0.3012459874,0.899631381,-0.2488506734
1.73564,-0.1905599535,-0.3012965322,0.8995526433,-0.2488894761
1.73582,-0.1905090362,-0.3013450801,0.8996634483,-0.2489232719
1.736,-0.1905208081,-0.3013135195,0.8996100426,-0.2490908206
1.73618,-0.1905774623,-0.3013710976,0.899618268,-0.2490569204
1.73636,-0.1906042099,-0.3014665842,0.8996554017,-0.249155283
1.73654,-0.1905318797,-0.3015088737,0.8996728659,-0.249094218
1.73672,-0.190559268,-0.3015099764,0.8995994329,-0.248957172
1.7369,-0.1906301081,-0.3014871478,0.8995001316,-0.2491368055
1.73708,-0.1905710548,-0.3014448881,0.8994380236,-0.2489893585
1.73726,-0.190651685,-0.3014068604,0.8995837569,-0.2489290237
1.73744,-0.1904757619,-0.3014039099,0.8995159864,-0.2489879876
1.73762,-0.1905594468,-0.3014030457,0.8995422125,-0.2490848452
1.7378,-0.1906281114,-0.3013994396,0.8994418383,-0.24914141
1.73798,-0.1905995607,-0.3013768494,0.8993276954,-0.2491168082
1.73816,-0.1905309409,-0.3014796376,0.8994027376,-0.2490508258
1.73834,-0.1907328218,-0.3014338911,0.899415195,-0.249042362
1.73852,-0.1907170564,-0.3015547693,0.8994294405,-0.2491024882
1.7387,-0.1906536818,-0.3015865684,0.8994582891,-0.2489732206
1.73888,-0.190688327,-0.3015636802,0.8994931579,-0.2490729839
1.73906,-0.1908559501,-0.3016585112,0.8994111419,-0.249060154
1.73924,-0.190885812,-0.3015961945,0.8993982673,-0.2492667288
1.73942,-0.1909634769,-0.3015975952,0.8994696736,-0.2493221909
1.7396,-0.1909519583,-0.3016444445,0.8994564414,-0.249365747
1.73978,-0.1908985525,-0.3015591204,0.8993589878,-0.24925448
1.73996,-0.1910005361,-0.3016268909,0.8994830251,-0.2494712621
1.74014,-0.1909771264,-0.3015303612,0.8992686272,-0.2494134754
1.74032,-0.1910323501,-0.3016580045,0.899274528,-0.2493540794
1.7405,-0.1911567599,-0.3015740216,0.8993188739,-0.2492729723
1.74068,-0.1911348403,-0.3015646338,0.8993155956,-0.2492467016
1.74086,-0.191258803,-0.301543355,0.89933604,-0.2493666112
1.74104,-0.191172272,-0.301674366,0.8992783427,-0.2493383884
1.74122,-0.1912043244,-0.3016832173,0.8993130326,-0.2494645268
1.7414,-0.1910862476,-0.3016679585,0.8992959261,-0.2493475825
1.74158,-0.1911567897,-0.3017168939,0.8992285728,-0.2492963374
1.74176,-0.1912143826,-0.3016084433,0.8991481662,-0.2493351549
1.74194,-0.1912840456,-0.3015535772,0.8991723657,-0.249319315
1.74212,-0.1913403124,-0.3016512692,0.8991586566,-0.2493324578
1.7423,-0.1913927644,-0.3015052974,0.899043262,-0.2493904531
1.74248,-0.1913040131,-0.3015449643,0.8990975618,-0.2493757308
1.74266,-0.1912136376,-0.3014501631,0.8990588188,-0.2495166212
1.74284,-0.191433534,-0.3015075326,0.899082303,-0.2494973838
