Frequency,S11 Re,S11 Im,S21 Re,S21 Im
0.89472,2.381892409e-05,-0.1889415234,0.972655654,-0.1307729781
0.89536,0.0003374085063,-0.1892977804,0.9723782539,-0.1310348213
0.896,2.794840839e-05,-0.1892754287,0.9725016952,-0.1306328923
0.89664,0.0003708451986,-0.1898325384,0.9725046754,-0.131032005
0.89728,0.0002696574666,-0.1895766109,0.9723284841,-0.1309911758
0.89792,9.08295624e-05,-0.1900205165,0.9723542929,-0.1310378462
0.89856,4.454096779e-05,-0.1899082661,0.9724856615,-0.1312168241
0.8992,0.0003634946188,-0.1903320849,0.9722186327,-0.1310908198
0.89984,0.0001997507643,-0.1903978884,0.972456336,-0.131118536
0.90048,3.840576392e-05,-0.1905575991,0.9722633958,-0.1314068139
0.90112,-3.221107181e-05,-0.1904769391,0.9723465443,-0.1314575821
0.90176,6.889028009e-05,-0.1904071867,0.972632885,-0.1312876642
0.9024,-0.0001186404261,-0.1907009184,0.9721699357,-0.1321590245
0.90304,-0.0002407981374,-0.1906820685,0.9726089835,-0.1318915486
0.90368,0.0001984503469,-0.1909124851,0.9723163247,-0.1314496696
0.90432,-0.0002713850699,-0.190642938,0.9723085761,-0.1322120428
0.90496,-0.0001391900005,-0.19067128,0.9718439579,-0.1319933683
0.9056,-3.380235285e-05,-0.1908643842,0.9718371034,-0.132184878
0.90624,-8.731137495e-05,-0.1911065876,0.9720442891,-0.1319219768
0.90688,2.07737321e-05,-0.1909145415,0.9719058275,-0.1320937276
0.90752,-0.0001401904738,-0.1909847558,0.9717395902,-0.1323224604
0.90816,-0.0003195533645,-0.1909739673,0.9715067148,-0.1324854642
0.9088,-0.00023812789,-0.1911181808,0.9715002775,-0.1324871331
0.90944,-0.0003039487929,-0.1911054254,0.9717426896,-0.1328361034
0.91008,4.707745393e-05,-0.1912858337,0.9717156291,-0.1327493638
0.91072,-0.0004653503129,-0.1908333749,0.9715639353,-0.1331062615
0.91136,-0.0004189149186,-0.1911749542,0.9716362357,-0.132919848
0.912,-0.0004217859241,-0.1913402677,0.971368432,-0.132815361
0.91264,-0.0003349200124,-0.191358462,0.9712747931,-0.1329021901
0.91328,-0.0001029495616,-0.1914705634,0.9714887142,-0.13347736
0.91392,-0.000358350575,-0.1914270669,0.9712682366,-0.1332339048
0.91456,-0.000164099969,-0.1915402412,0.9713003039,-0.1333426088
0.9152,-0.0002285761293,-0.1917239726,0.9715553522,-0.1333518624
0.91584,-0.000433207606,-0.1917321235,0.9713503122,-0.1335803121
0.91648,-0.0001155122882,-0.192063272,0.9709933996,-0.1336214989
0.91712,-0.0003389675403,-0.1920758784,0.9710317254,-0.1338882893
0.91776,-0.0003537534503,-0.1921537369,0.9708451033,-0.1339049041
0.9184,-0.0003782738349,-0.1923775971,0.9711097479,-0.1340494007
0.91904,-0.0002351352596,-0.1925894171,0.9713094234,-0.1343017519
0.91968,9.111140389e-05,-0.192776382,0.9711033702,-0.1340796351
0.92032,-1.3835961e-05,-0.1926909983,0.9711079597,-0.1342516541
0.92096,-0.0001265568426,-0.1929851472,0.9711591601,-0.1343714297
0.9216,7.117679343e-05,-0.193394959,0.9706540704,-0.1346794069
0.92224,-9.893416427e-05,-0.1933449656,0.9707475305,-0.1347952932
0.92288,6.011151709e-05,-0.1935970634,0.9707373381,-0.1346064061
0.92352,-0.0001864831429,-0.1936973482,0.9707416892,-0.1347056478
0.92416,-0.0001981079113,-0.1938783526,0.9704712629,-0.1347966492
0.9248,-0.0001086781267,-0.1942609698,0.9706706405,-0.1349910349
0.92544,0.0001015458256,-0.1945257634,0.9702014327,-0.1347265691
0.92608,-0.0003822303843,-0.1949684769,0.9706084132,-0.1351160556
0.92672,-0.0002092595678,-0.1951125562,0.9703712463,-0.1351704746
0.92736,-7.719662972e-05,-0.1951728761,0.9704696536,-0.1352021694
0.928,-0.0001969572768,-0.195295006,0.9704192877,-0.1355784982
0.92864,-0.0002924803994,-0.1954874098,0.9704079032,-0.1352454573
0.92928,-0.0001388471574,-0.1957134902,0.970189929,-0.1353549063
0.92992,-0.0003019140568,-0.1961149722,0.9705345035,-0.1353560239
0.93056,-0.0004239240661,-0.196168676,0.9700256586,-0.1356245279
0.9312,-0.0004583841655,-0.1960412115,0.9702702761,-0.1358385682
0.93184,-0.0001478639897,-0.1966997087,0.9700126648,-0.1357663721
0.93248,-0.0003491619136,-0.1966308057,0.9703012109,-0.135904789
0.93312,-0.0004041639622,-0.1968736202,0.9699522853,-0.1355982423
0.93376,-0.0003698882647,-0.1971634477,0.9701740742,-0.1361501366
0.9344,-0.0002646662761,-0.1973168701,0.9702004194,-0.1361741871
0.93504,-0.0005562793231,-0.1969592422,0.970087707,-0.1362920403
0.93568,-0.0007064559613,-0.1972790956,0.9700675607,-0.1361651123
0.93632,-0.0004873209691,-0.1974827349,0.9702430964,-0.1364717036
0.93696,-0.0007695807726,-0.1975208968,0.9698241353,-0.1367405951
0.9376,-0.0008071635384,-0.1975204647,0.9701609015,-0.1365268081
