Frequency,S11,S21
1.73762,(-0.01230436005+0.001743099187j),(-0.01230436005+0.001743099187j)
1.7378,(-0.01230718847+0.001730697462j),(-0.01230718847+0.001730697462j)
1.73798,(-0.01219265535+0.001764870714j),(-0.01219265535+0.001764870714j)
1.73816,(-0.01221018843+0.001697306172j),(-0.01221018843+0.001697306172j)
1.73834,(-0.01219609566+0.001731942291j),(-0.01219609566+0.001731942291j)
1.73852,(-0.01221121289+0.001683119684j),(-0.01221121289+0.001683119684j)
1.7387,(-0.01219384465+0.001690335223j),(-0.01219384465+0.001690335223j)
1.73888,(-0.01218453329+0.001631820574j),(-0.01218453329+0.001631820574j)
1.73906,(-0.01223068405+0.001672246377j),(-0.01223068405+0.001672246377j)
1.73924,(-0.01214872953+0.001654538675j),(-0.01214872953+0.001654538675j)
1.73942,(-0.01215143129+0.001776067191j),(-0.01215143129+0.001776067191j)
1.7396,(-0.01229418535+0.001699024346j),(-0.01229418535+0.001699024346j)
1.73978,(-0.01231026836+0.00168885442j),(-0.01231026836+0.00168885442j)
1.73996,(-0.01217380445+0.001737243263j),(-0.01217380445+0.001737243263j)
1.74014,(-0.01215874404+0.00174103817j),(-0.01215874404+0.00174103817j)
1.74032,(-0.01228579041+0.001696596388j),(-0.01228579041+0.001696596388j)
1.7405,(-0.01220321003+0.001812235336j),(-0.01220321003+0.001812235336j)
1.74068,(-0.01233352441+0.001670249854j),(-0.01233352441+0.001670249854j)
1.74086,(-0.01233530045+0.001724884496j),(-0.01233530045+0.001724884496j)
1.74104,(-0.01217452157+0.001759518869j),(-0.01217452157+0.001759518869j)
1.74122,(-0.01231348049+0.001798968762j),(-0.01231348049+0.001798968762j)
1.7414,(-0.01215435099+0.001777493162j),(-0.01215435099+0.001777493162j)
1.74158,(-0.01216588914+0.001755022444j),(-0.01216588914+0.001755022444j)
1.74176,(-0.01226592809+0.001781582367j),(-0.01226592809+0.001781582367j)
1.74194,(-0.01223532297+0.001790667186j),(-0.01223532297+0.001790667186j)
1.74212,(-0.01236931141+0.001839388278j),(-0.01236931141+0.001839388278j)
1.7423,(-0.0122355856+0.001909428043j),(-0.0122355856+0.001909428043j)
1.74248,(-0.01223090291+0.001972730504j),(-0.01223090291+0.001972730504j)
1.74266,(-0.01220733486+0.002049242612j),(-0.01220733486+0.002049242612j)
1.74284,(-0.01227456983+0.001952038263j),(-0.01227456983+0.001952038263j)
1.74302,(-0.0123243127+0.001971204067j),(-0.0123243127+0.001971204067j)
1.7432,(-0.01236291137+0.001960119698j),(-0.01236291137+0.001960119698j)
1.74338,(-0.01231476758+0.001984016737j),(-0.01231476758+0.001984016737j)
1.74356,(-0.01225907356+0.001962554175j),(-0.01225907356+0.001962554175j)
1.74374,(-0.01231726259+0.002076786943j),(-0.01231726259+0.002076786943j)
1.74392,(-0.01221598685+0.002003304893j),(-0.01221598685+0.002003304893j)
1.7441,(-0.01224030741+0.002124788007j),(-0.01224030741+0.002124788007j)
1.74428,(-0.01233087759+0.002136524767j),(-0.01233087759+0.002136524767j)
1.74446,(-0.0123802973+0.002169478917j),(-0.0123802973+0.002169478917j)
1.74464,(-0.01233463269+0.002135325689j),(-0.01233463269+0.002135325689j)
1.74482,(-0.01242762525+0.002146175597j),(-0.01242762525+0.002146175597j)
1.745,(-0.01241490711+0.00212601875j),(-0.01241490711+0.00212601875j)
1.74518,(-0.01238541119+0.001993656391j),(-0.01238541119+0.001993656391j)
1.74536,(-0.01240989286+0.001982346643j),(-0.01240989286+0.001982346643j)
1.74554,(-0.01247635391+0.002064525383j),(-0.01247635391+0.002064525383j)
1.74572,(-0.01243716478+0.002169568557j),(-0.01243716478+0.002169568557j)
1.7459,(-0.01253656019+0.002121560276j),(-0.01253656019+0.002121560276j)
1.74608,(-0.01249121595+0.002133635804j),(-0.01249121595+0.002133635804j)
1.74626,(-0.01245012134+0.002140171127j),(-0.01245012134+0.002140171127j)
