Frequency,S11 Re,S11 Im,S21 Re,S21 Im
0.87872,-0.05058418959,-0.2062135637,0.9611347914,-0.1542326808
0.87936,-0.05106493086,-0.2064469308,0.9608725309,-0.1542890668
0.88,-0.05082107708,-0.206239894,0.9611192942,-0.1544088721
0.88064,-0.05092450976,-0.2066858709,0.9609228969,-0.1548298597
0.88128,-0.05121473223,-0.2067976147,0.9609842896,-0.1547926366
0.88192,-0.05097509921,-0.2066623718,0.9609382749,-0.1548268348
0.88256,-0.05102736503,-0.2067836523,0.9612603784,-0.154896453
0.8832,-0.05113980547,-0.2068111449,0.9605789781,-0.1549163014
0.88384,-0.05119404942,-0.2072161436,0.9608274102,-0.1550094783
0.88448,-0.05093322694,-0.2075115144,0.9609661102,-0.1549984217
0.88512,-0.05137097836,-0.2074992657,0.9608501196,-0.1552226096
0.88576,-0.0510596931,-0.2075731456,0.9604677558,-0.1552356333
0.8864,-0.05129065737,-0.207842648,0.961135447,-0.1554715186
0.88704,-0.05127033964,-0.2082422227,0.9606931806,-0.1551398337
0.88768,-0.05149884522,-0.2084153742,0.9607670903,-0.155785203
0.88832,-0.05152919888,-0.2083999515,0.9604498744,-0.1554241776
0.88896,-0.05143279955,-0.2087020129,0.9606932402,-0.1560376734
0.8896,-0.0518415086,-0.2089786679,0.9606266618,-0.1558800191
0.89024,-0.05165049434,-0.2089046985,0.9606095552,-0.1558126211
0.89088,-0.05144458637,-0.2090183944,0.9606023431,-0.1558829695
0.89152,-0.05144355074,-0.2097417861,0.9605843425,-0.1562918276
0.89216,-0.05156271905,-0.2095035017,0.9603076577,-0.1561247408
0.8928,-0.05179775879,-0.2097791284,0.9604066014,-0.1562409103
0.89344,-0.05172178149,-0.2100209445,0.9601380229,-0.1563068777
0.89408,-0.05155613646,-0.2101976871,0.9603201747,-0.1567935348
0.89472,-0.05187695101,-0.2100278288,0.9601987004,-0.1565002948
0.89536,-0.05164964125,-0.2103916705,0.9599349499,-0.1569809616
0.896,-0.05202887207,-0.2105059475,0.9603002667,-0.1568390876
0.89664,-0.0519487299,-0.2110255957,0.9600245357,-0.1569816619
0.89728,-0.05207296833,-0.2107871324,0.960080266,-0.1571216434
