Frequency,S11,S21
1.51168,(-0.001123144524-0.2930055559j),(-0.001123144524-0.2930055559j)
1.51232,(-0.001244495623-0.2931446731j),(-0.001244495623-0.2931446731j)
1.51296,(-0.0009735384956-0.2928971052j),(-0.0009735384956-0.2928971052j)
1.5136,(-0.000977951102-0.2932801843j),(-0.000977951102-0.2932801843j)
1.51424,(-0.0009629293345-0.2929607928j),(-0.0009629293345-0.2929607928j)
1.51488,(-0.001122960355-0.2931033969j),(-0.001122960355-0.2931033969j)
1.51552,(-0.001112091821-0.2933731675j),(-0.001112091821-0.2933731675j)
1.51616,(-0.001100887544-0.2935024202j),(-0.001100887544-0.2935024202j)
1.5168,(-0.0009983587079-0.2935082316j),(-0.0009983587079-0.2935082316j)
1.51744,(-0.001164948568-0.2934444249j),(-0.001164948568-0.2934444249j)
1.51808,(-0.001226639841-0.2934538722j),(-0.001226639841-0.2934538722j)
1.51872,(-0.001311591361-0.293441236j),(-0.001311591361-0.293441236j)
1.51936,(-0.001014146954-0.2934927642j),(-0.001014146954-0.2934927642j)
1.52,(-0.001244410872-0.293520391j),(-0.001244410872-0.293520391j)
1.52064,(-0.001306561753-0.293641001j),(-0.001306561753-0.293641001j)
1.52128,(-0.001280308235-0.2936709523j),(-0.001280308235-0.2936709523j)
1.52192,(-0.001205419656-0.2936194539j),(-0.001205419656-0.2936194539j)
1.52256,(-0.001320789335-0.2937778533j),(-0.001320789335-0.2937778533j)
1.5232,(-0.001296808245-0.2938188612j),(-0.001296808245-0.2938188612j)
1.52384,(-0.001190063776-0.2937867939j),(-0.001190063776-0.2937867939j)
1.52448,(-0.001456453931-0.2938907146j),(-0.001456453931-0.2938907146j)
1.52512,(-0.001415460836-0.2939977348j),(-0.001415460836-0.2939977348j)
1.52576,(-0.001448844094-0.2941707969j),(-0.001448844094-0.2941707969j)
1.5264,(-0.00138781406-0.2939836383j),(-0.00138781406-0.2939836383j)
1.52704,(-0.001470255665-0.2942138612j),(-0.001470255665-0.2942138612j)
1.52768,(-0.001446307637-0.2943791747j),(-0.001446307637-0.2943791747j)
1.52832,(-0.00155663956-0.2944249511j),(-0.00155663956-0.2944249511j)
1.52896,(-0.001645440236-0.2946142554j),(-0.001645440236-0.2946142554j)
1.5296,(-0.001395273954-0.2945584357j),(-0.001395273954-0.2945584357j)
1.53024,(-0.001439956948-0.2946768403j),(-0.001439956948-0.2946768403j)
1.53088,(-0.00147956796-0.2948866189j),(-0.00147956796-0.2948866189j)
1.53152,(-0.00147814583-0.2950177491j),(-0.00147814583-0.2950177491j)
1.53216,(-0.001367095858-0.2951855659j),(-0.001367095858-0.2951855659j)
1.5328,(-0.001489507034-0.2953955233j),(-0.001489507034-0.2953955233j)
1.53344,(-0.001398245338-0.2953749597j),(-0.001398245338-0.2953749597j)
1.53408,(-0.001303391531-0.2955922484j),(-0.001303391531-0.2955922484j)
1.53472,(-0.001585504506-0.295633316j),(-0.001585504506-0.295633316j)
1.53536,(-0.001592061017-0.2957878113j),(-0.001592061017-0.2957878113j)
1.536,(-0.001324191457-0.2959913015j),(-0.001324191457-0.2959913015j)
1.53664,(-0.001377657405-0.2962095737j),(-0.001377657405-0.2962095737j)
1.53728,(-0.001362837153-0.2962126434j),(-0.001362837153-0.2962126434j)
1.53792,(-0.001361723524-0.2963034809j),(-0.001361723524-0.2963034809j)
1.53856,(-0.001469419803-0.296600461j),(-0.001469419803-0.296600461j)
1.5392,(-0.001380860689-0.2966102064j),(-0.001380860689-0.2966102064j)
1.53984,(-0.001374925487-0.2966623604j),(-0.001374925487-0.2966623604j)
1.54048,(-0.001246147091-0.29689762j),(-0.001246147091-0.29689762j)
1.54112,(-0.001426923322-0.2969005406j),(-0.001426923322-0.2969005406j)
1.54176,(-0.001281327801-0.297339946j),(-0.001281327801-0.297339946j)
1.5424,(-0.001492602983-0.2973265648j),(-0.001492602983-0.2973265648j)
