%Frequency  / Hz	S1,1 Zr: 50 Ω Mag	S1,1 Zr: 50 Ω Phase / °	S2,1 Zr: 50 Ω Mag	S2,1 Zr: 50 Ω Phase / °	S1,2 Zr: 50 Ω Mag	S1,2 Zr: 50 Ω Phase / °	S2,2 Zr: 50 Ω Mag	S2,2 Zr: 50 Ω Phase / °
919000000.000000000	0.006670556	-29.897684076	0.999200916	-33.977746277	0.997545048	-34.202931033	0.006790626	102.728385937
920700000.000000000	0.006340002	-28.485509257	0.999112948	-34.044101804	0.997703105	-34.280042323	0.006723957	105.984083470
922400000.000000000	0.006090972	-26.626067660	0.999037360	-34.107248994	0.997819109	-34.355642803	0.006645784	109.606115063
924100000.000000000	0.005926579	-24.482334910	0.998961007	-34.168096700	0.997917574	-34.430731558	0.006523976	113.657571011
925800000.000000000	0.005824814	-20.983459965	0.999061085	-34.233642909	0.994746603	-34.536927881	0.006420854	118.769970208
927500000.000000000	0.005847562	-16.145325015	0.999289946	-34.302453048	0.988435275	-34.652347929	0.006364894	125.335846070
929200000.000000000	0.006021902	-10.445003879	0.999743404	-34.365422004	0.979772685	-34.755848932	0.006351401	132.209170728
930900000.000000000	0.006338061	-3.761385010	1.000367472	-34.424117329	0.969507341	-34.839416233	0.006344989	138.969615403
932600000.000000000	0.006774966	3.790949315	1.001010217	-34.476425328	0.958364075	-34.899960310	0.006362709	145.488728995
934300000.000000000	0.007342134	11.949962632	1.001642844	-34.527124341	0.947132271	-34.929745632	0.006388011	151.621908850
936000000.000000000	0.007989632	19.279602779	1.002202936	-34.577265150	0.936450483	-34.946639087	0.006472533	157.606686337
937700000.000000000	0.008635435	26.065535150	1.002577752	-34.632383186	0.926873212	-34.946297814	0.006541260	163.534226313
939400000.000000000	0.009248516	31.309448587	1.002969610	-34.690618683	0.919163205	-34.927987530	0.006623526	169.279104614
941100000.000000000	0.009759795	35.313565909	1.003117361	-34.752544603	0.913969546	-34.915460987	0.006686948	174.679253744
942800000.000000000	0.010115104	37.782567072	1.003139166	-34.818680260	0.911831368	-34.920329019	0.006735925	179.432456887
944500000.000000000	0.010505131	37.858312168	1.002980381	-34.887899112	0.911796296	-34.972202720	0.006184558	179.026696370
946200000.000000000	0.010677638	37.513066872	1.002970270	-34.961626563	0.911883414	-35.025133801	0.005783688	-174.166046977
947900000.000000000	0.010529756	37.070531864	1.003122063	-35.036694092	0.911984282	-35.085896295	0.005610219	-166.261005006
949600000.000000000	0.010244522	36.568825773	1.003254757	-35.118513793	0.912177601	-35.143103931	0.005593722	-158.314012647
951300000.000000000	0.009962306	35.360524890	1.003144797	-35.192455396	0.915252689	-35.171593760	0.005617015	-151.687462321
953000000.000000000	0.009644265	33.036764890	1.002812026	-35.259727519	0.921285247	-35.182484865	0.005615234	-146.251052164
954700000.000000000	0.009265235	30.194521397	1.002323751	-35.327575137	0.929576772	-35.201189887	0.005558131	-141.394140068
