Frequency,S11,S21
1.7243,(-0.1896791309-0.3002313972j),(-0.1896791309-0.3002313972j)
1.72448,(-0.1897041649-0.3001720905j),(-0.1897041649-0.3001720905j)
1.72466,(-0.1898165792-0.3001362979j),(-0.1898165792-0.3001362979j)
1.72484,(-0.1898102611-0.3001265824j),(-0.1898102611-0.3001265824j)
1.72502,(-0.1897175759-0.3002770245j),(-0.1897175759-0.3002770245j)
1.7252,(-0.1898101717-0.3002712429j),(-0.1898101717-0.3002712429j)
1.72538,(-0.1898896545-0.3003782332j),(-0.1898896545-0.3003782332j)
1.72556,(-0.1898251325-0.300344497j),(-0.1898251325-0.300344497j)
1.72574,(-0.1897842288-0.3003440797j),(-0.1897842288-0.3003440797j)
1.72592,(-0.1898147017-0.3004024625j),(-0.1898147017-0.3004024625j)
1.7261,(-0.1898941994-0.3003996909j),(-0.1898941994-0.3003996909j)
1.72628,(-0.1897932887-0.3004773557j),(-0.1897932887-0.3004773557j)
1.72646,(-0.1899019331-0.3005007505j),(-0.1899019331-0.3005007505j)
1.72664,(-0.1898747236-0.3005518615j),(-0.1898747236-0.3005518615j)
1.72682,(-0.1898618191-0.3005530834j),(-0.1898618191-0.3005530834j)
1.727,(-0.1898233742-0.3004933j),(-0.1898233742-0.3004933j)
1.72718,(-0.1898784637-0.3004278839j),(-0.1898784637-0.3004278839j)
1.72736,(-0.1898111552-0.3004137576j),(-0.1898111552-0.3004137576j)
1.72754,(-0.1898458898-0.3004659712j),(-0.1898458898-0.3004659712j)
1.72772,(-0.1899547279-0.3005793393j),(-0.1899547279-0.3005793393j)
1.7279,(-0.1900080442-0.3005870581j),(-0.1900080442-0.3005870581j)
1.72808,(-0.190041706-0.300627619j),(-0.190041706-0.300627619j)
1.72826,(-0.1900206655-0.3006548285j),(-0.1900206655-0.3006548285j)
1.72844,(-0.1900854558-0.3006278276j),(-0.1900854558-0.3006278276j)
1.72862,(-0.1901752055-0.3007046282j),(-0.1901752055-0.3007046282j)
1.7288,(-0.1900904179-0.3006769419j),(-0.1900904179-0.3006769419j)
1.72898,(-0.1901188493-0.3006511927j),(-0.1901188493-0.3006511927j)
1.72916,(-0.1902009845-0.3006437421j),(-0.1902009845-0.3006437421j)
1.72934,(-0.1900810301-0.3007054925j),(-0.1900810301-0.3007054925j)
1.72952,(-0.1900809556-0.3005874753j),(-0.1900809556-0.3005874753j)
1.7297,(-0.1900591254-0.3007323146j),(-0.1900591254-0.3007323146j)
1.72988,(-0.1900034994-0.3007676601j),(-0.1900034994-0.3007676601j)
1.73006,(-0.1900982559-0.3008699417j),(-0.1900982559-0.3008699417j)
1.73024,(-0.1901784092-0.300830096j),(-0.1901784092-0.300830096j)
1.73042,(-0.1902324557-0.3008388579j),(-0.1902324557-0.3008388579j)
1.7306,(-0.1903591305-0.3008461893j),(-0.1903591305-0.3008461893j)
1.73078,(-0.1902237236-0.3009019494j),(-0.1902237236-0.3009019494j)
1.73096,(-0.1902632415-0.3008956313j),(-0.1902632415-0.3008956313j)
1.73114,(-0.1901791245-0.3009266555j),(-0.1901791245-0.3009266555j)
1.73132,(-0.1901625842-0.3008379042j),(-0.1901625842-0.3008379042j)
1.7315,(-0.19035317-0.3009368479j),(-0.19035317-0.3009368479j)
1.73168,(-0.1902591735-0.3009879589j),(-0.1902591735-0.3009879589j)
1.73186,(-0.1904007494-0.3009532392j),(-0.1904007494-0.3009532392j)
1.73204,(-0.1903712451-0.3010549247j),(-0.1903712451-0.3010549247j)
