Frequency,S11,S21
1.72394,(-0.151838541-0.3142501712j),(-0.151838541-0.3142501712j)
1.72412,(-0.151901871-0.3142238855j),(-0.151901871-0.3142238855j)
1.7243,(-0.1520073712-0.3142678738j),(-0.1520073712-0.3142678738j)
1.72448,(-0.1520260423-0.314257443j),(-0.1520260423-0.314257443j)
1.72466,(-0.151976943-0.3142228127j),(-0.151976943-0.3142228127j)
1.72484,(-0.1519865245-0.3142273724j),(-0.1519865245-0.3142273724j)
1.72502,(-0.1520535648-0.3143313527j),(-0.1520535648-0.3143313527j)
1.7252,(-0.1521184593-0.3144233227j),(-0.1521184593-0.3144233227j)
1.72538,(-0.1520889699-0.3143513501j),(-0.1520889699-0.3143513501j)
1.72556,(-0.1520417631-0.3144897521j),(-0.1520417631-0.3144897521j)
1.72574,(-0.1520045251-0.3145641387j),(-0.1520045251-0.3145641387j)
1.72592,(-0.1519581079-0.3145789802j),(-0.1519581079-0.3145789802j)
1.7261,(-0.1520218253-0.3145363927j),(-0.1520218253-0.3145363927j)
1.72628,(-0.1521684974-0.3145719767j),(-0.1521684974-0.3145719767j)
1.72646,(-0.1520452797-0.3147139847j),(-0.1520452797-0.3147139847j)
1.72664,(-0.1520623565-0.3147686124j),(-0.1520623565-0.3147686124j)
1.72682,(-0.1521491259-0.314715296j),(-0.1521491259-0.314715296j)
1.727,(-0.1521066725-0.3146158755j),(-0.1521066725-0.3146158755j)
1.72718,(-0.152068004-0.3146097362j),(-0.152068004-0.3146097362j)
1.72736,(-0.1520169824-0.3145229816j),(-0.1520169824-0.3145229816j)
1.72754,(-0.1520727128-0.314655602j),(-0.1520727128-0.314655602j)
1.72772,(-0.1521338671-0.3147529662j),(-0.1521338671-0.3147529662j)
1.7279,(-0.1521579027-0.3146895766j),(-0.1521579027-0.3146895766j)
1.72808,(-0.1521196663-0.3148086369j),(-0.1521196663-0.3148086369j)
1.72826,(-0.1522048712-0.314835161j),(-0.1522048712-0.314835161j)
1.72844,(-0.1522345394-0.314895153j),(-0.1522345394-0.314895153j)
1.72862,(-0.1522217393-0.3149703741j),(-0.1522217393-0.3149703741j)
1.7288,(-0.1522742808-0.3149065375j),(-0.1522742808-0.3149065375j)
1.72898,(-0.1522724181-0.3148430884j),(-0.1522724181-0.3148430884j)
1.72916,(-0.1521758288-0.3148633838j),(-0.1521758288-0.3148633838j)
1.72934,(-0.152238667-0.3148205876j),(-0.152238667-0.3148205876j)
1.72952,(-0.1521664113-0.3149417639j),(-0.1521664113-0.3149417639j)
1.7297,(-0.1521427184-0.3149606287j),(-0.1521427184-0.3149606287j)
1.72988,(-0.1520179808-0.3150187135j),(-0.1520179808-0.3150187135j)
1.73006,(-0.1521285623-0.3150416315j),(-0.1521285623-0.3150416315j)
1.73024,(-0.1521392167-0.3151503801j),(-0.1521392167-0.3151503801j)
1.73042,(-0.1521926373-0.3151414692j),(-0.1521926373-0.3151414692j)
1.7306,(-0.1522953361-0.315105617j),(-0.1522953361-0.315105617j)
1.73078,(-0.1523030102-0.3151207864j),(-0.1523030102-0.3151207864j)
1.73096,(-0.1522850245-0.3151869774j),(-0.1522850245-0.3151869774j)
1.73114,(-0.152291432-0.3151224852j),(-0.152291432-0.3151224852j)
1.73132,(-0.1521910876-0.3151945174j),(-0.1521910876-0.3151945174j)
1.7315,(-0.1522284001-0.3152359426j),(-0.1522284001-0.3152359426j)
1.73168,(-0.1523536593-0.3151921034j),(-0.1523536593-0.3151921034j)
